combinations,questions,avg_rating,quest_comb_id,model
"(26, 15, 5)",What ideas have you got on how to improve your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,3,17,0
"(26, 16, 0)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,3,18,0
"(26, 16, 1)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,19,0
"(26, 16, 2)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,3,20,0
"(26, 16, 3)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,1,21,0
"(26, 16, 4)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,4,22,0
"(26, 16, 5)",What ideas have you got on how to improve your wellbeing in coping?; What is the main threat to your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,4,23,0
"(26, 17, 0)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; What ideas have you got on how to improve your wellbeing in hopeful?,3,24,0
"(26, 17, 1)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,25,0
"(26, 17, 2)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; Is there anyone else we need to talk to about this problem?,0,26,0
"(26, 17, 3)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; What is the main threat to your wellbeing in hopeful?,0,27,0
"(26, 17, 4)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; Why have you scored yourself so low in this hopeful?,1,28,0
"(26, 17, 5)",What ideas have you got on how to improve your wellbeing in coping?; Why have you scored yourself so low in this happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,2,29,0
"(26, 18, 0)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in hopeful?,0,30,0
"(26, 18, 1)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,31,0
"(26, 18, 2)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Is there anyone else we need to talk to about this problem?,2,32,0
"(26, 18, 3)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What is the main threat to your wellbeing in hopeful?,3,33,0
"(26, 18, 4)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Why have you scored yourself so low in this hopeful?,1,34,0
"(26, 18, 5)",What ideas have you got on how to improve your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,35,0
"(27, 13, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,0,36,0
"(27, 13, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,37,0
"(27, 13, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,3,38,0
"(27, 13, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,1,39,0
"(27, 13, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,3,40,0
"(27, 13, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,0,41,0
"(27, 14, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in hopeful?,1,42,0
"(27, 14, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,43,0
"(27, 14, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?,3,44,0
"(27, 14, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in hopeful?,1,45,0
"(27, 14, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this hopeful?,2,46,0
"(27, 14, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,2,47,0
"(27, 15, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in hopeful?,2,48,0
"(27, 15, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,49,0
"(27, 15, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?,2,50,0
"(27, 15, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in hopeful?,4,51,0
"(27, 15, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this hopeful?,2,52,0
"(27, 15, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,0,53,0
"(27, 16, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,0,54,0
"(27, 16, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,55,0
"(27, 16, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,0,56,0
"(27, 16, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,0,57,0
"(27, 16, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,0,58,0
"(27, 16, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,2,59,0
"(27, 17, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; What ideas have you got on how to improve your wellbeing in hopeful?,4,60,0
"(27, 17, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,4,61,0
"(27, 17, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; Is there anyone else we need to talk to about this problem?,3,62,0
"(27, 17, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; What is the main threat to your wellbeing in hopeful?,3,63,0
"(27, 17, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; Why have you scored yourself so low in this hopeful?,1,64,0
"(27, 17, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,4,65,0
"(27, 18, 0)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in hopeful?,3,66,0
"(27, 18, 1)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,67,0
"(27, 18, 2)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; Is there anyone else we need to talk to about this problem?,3,68,0
"(27, 18, 3)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; What is the main threat to your wellbeing in hopeful?,4,69,0
"(27, 18, 4)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; Why have you scored yourself so low in this hopeful?,3,70,0
"(27, 18, 5)",What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in happy what strategies would you recommend?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,4,71,0
"(28, 13, 0)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,2,72,0
"(28, 13, 1)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,73,0
"(28, 13, 2)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,1,74,0
"(28, 13, 3)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,4,75,0
"(28, 13, 4)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,2,76,0
"(28, 13, 5)",Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,2,77,0
"(28, 14, 0)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in hopeful?,1,78,0
"(28, 14, 1)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,79,0
"(28, 14, 2)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?,3,80,0
"(28, 14, 3)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in hopeful?,2,81,0
"(28, 14, 4)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this hopeful?,2,82,0
"(28, 14, 5)",Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,3,83,0
"(28, 15, 0)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in hopeful?,4,84,0
"(28, 15, 1)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,85,0
"(28, 15, 2)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?,3,86,0
"(28, 15, 3)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in hopeful?,4,87,0
"(28, 15, 4)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this hopeful?,2,88,0
"(28, 15, 5)",Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,89,0
"(28, 16, 0)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,1,90,0
"(28, 16, 1)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,91,0
"(28, 16, 2)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,3,92,0
"(28, 16, 3)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,1,93,0
"(28, 16, 4)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,4,94,0
"(28, 16, 5)",Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,95,0
"(28, 17, 0)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; What ideas have you got on how to improve your wellbeing in hopeful?,0,96,0
"(28, 17, 1)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,97,0
"(28, 17, 2)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; Is there anyone else we need to talk to about this problem?,0,98,0
"(28, 17, 3)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; What is the main threat to your wellbeing in hopeful?,3,99,0
"(28, 17, 4)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; Why have you scored yourself so low in this hopeful?,1,100,0
"(28, 17, 5)",Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,101,0
"(28, 18, 0)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in hopeful?,3,102,0
"(28, 18, 1)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,103,0
"(28, 18, 2)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; Is there anyone else we need to talk to about this problem?,2,104,0
"(28, 18, 3)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; What is the main threat to your wellbeing in hopeful?,3,105,0
"(28, 18, 4)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; Why have you scored yourself so low in this hopeful?,0,106,0
"(28, 18, 5)",Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in happy what strategies would you recommend?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,0,107,0
"(29, 13, 0)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,1,108,0
"(29, 13, 1)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,109,0
"(29, 13, 2)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,4,110,0
"(29, 13, 3)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,2,111,0
"(29, 13, 4)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,3,112,0
"(29, 13, 5)",What is the main threat to your wellbeing in coping?; What ideas have you got on how to improve your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,0,113,0
"(29, 14, 0)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in hopeful?,4,114,0
"(29, 14, 1)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,115,0
"(29, 14, 2)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Is there anyone else we need to talk to about this problem?,3,116,0
"(29, 14, 3)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What is the main threat to your wellbeing in hopeful?,2,117,0
"(29, 14, 4)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; Why have you scored yourself so low in this hopeful?,2,118,0
"(29, 14, 5)",What is the main threat to your wellbeing in coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,2,119,0
"(29, 15, 0)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What ideas have you got on how to improve your wellbeing in hopeful?,2,120,0
"(29, 15, 1)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,121,0
"(29, 15, 2)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Is there anyone else we need to talk to about this problem?,0,122,0
"(29, 15, 3)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; What is the main threat to your wellbeing in hopeful?,1,123,0
"(29, 15, 4)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; Why have you scored yourself so low in this hopeful?,4,124,0
"(29, 15, 5)",What is the main threat to your wellbeing in coping?; Is there anyone else we need to talk to about this problem?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,125,0
"(29, 16, 0)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,3,126,0
"(29, 16, 1)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,1,127,0
"(29, 16, 2)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,4,128,0
"(29, 16, 3)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,2,129,0
"(29, 16, 4)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,2,130,0
"(29, 16, 5)",What is the main threat to your wellbeing in coping?; What is the main threat to your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,131,0
"(29, 17, 0)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; What ideas have you got on how to improve your wellbeing in hopeful?,3,132,0
"(29, 17, 1)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,2,133,0
"(29, 17, 2)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; Is there anyone else we need to talk to about this problem?,3,134,0
"(29, 17, 3)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; What is the main threat to your wellbeing in hopeful?,1,135,0
"(29, 17, 4)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; Why have you scored yourself so low in this hopeful?,3,136,0
"(29, 17, 5)",What is the main threat to your wellbeing in coping?; Why have you scored yourself so low in this happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,4,137,0
"(29, 18, 0)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What ideas have you got on how to improve your wellbeing in hopeful?,2,138,0
"(29, 18, 1)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,0,139,0
"(29, 18, 2)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Is there anyone else we need to talk to about this problem?,0,140,0
"(29, 18, 3)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; What is the main threat to your wellbeing in hopeful?,4,141,0
"(29, 18, 4)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; Why have you scored yourself so low in this hopeful?,2,142,0
"(29, 18, 5)",What is the main threat to your wellbeing in coping?; If you had a friend that rated them similar in happy what strategies would you recommend?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,0,143,0
"(30, 13, 0)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; What ideas have you got on how to improve your wellbeing in hopeful?,1,144,0
"(30, 13, 1)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,3,145,0
"(30, 13, 2)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; Is there anyone else we need to talk to about this problem?,1,146,0
"(30, 13, 3)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; What is the main threat to your wellbeing in hopeful?,3,147,0
"(30, 13, 4)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; Why have you scored yourself so low in this hopeful?,4,148,0
"(30, 13, 5)",Why have you scored yourself so low in this coping?; What ideas have you got on how to improve your wellbeing in happy?; If you had a friend that rated them similar in hopeful what strategies would you recommend?,1,149,0
"(30, 14, 0)",Why have you scored yourself so low in this coping?; What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?; What ideas have you got on how to improve your wellbeing in hopeful?,4,150,0
